transaction_id,transaction_date,category,merchant,amount,txn_type
91,2024-08-02,Groceries,Reliance Fresh,-517.86,debit
92,2024-08-04,DINING,McDonalds,-391.51,debit
93,2024-08-04,SHOPPING,Local Store,-1493.32,debit
94,2024-08-05,Rent,Landlord Transfer,-8424.68,debit
95,2024-08-05,Entertainment,Netflix,-326.97,debit
96,2024-08-05,Dining,Cafe Coffee Day,-168.6,debit
97,2024-08-05,Dining,Zomato,-212.05,debit
98,2024-08-06,Healthcare,Apollo Pharmacy,-708.04,debit
99,2024-08-06,Entertainment,PVR Cinemas,-425.58,debit
100,2024-08-06,GROCERIES,Local Kirana,-572.91,debit
101,2024-08-07,Dining,Zomato,-355.22,debit
102,2024-08-08,SHOPPING,Local Store,-1064.48,debit
103,2024-08-08,Dining,McDonalds,-219.55,debit
104,2024-08-09,GROCERIES,DMart,-355.96,debit
105,2024-08-10,Shopping,Amazon,-1010.29,debit
106,2024-08-10,Groceries,Local Kirana,-372.76,debit
107,2024-08-10,Groceries,Local Kirana,-401.91,debit
108,2024-08-11,Transport,Uber,-96.6,debit
109,2024-08-11,Dining,Cafe Coffee Day,-149.81,debit
110,2024-08-11,Dining,Domino's,-287.23,debit
111,2024-08-11,Dining,Domino's,-109.43,debit
112,2024-08-11,Shopping,Amazon,-303.25,debit
113,2024-08-11,Shopping,Amazon,-453.01,debit
114,2024-08-11,Groceries,Reliance Fresh,-633.25,debit
115,2024-08-12,Groceries,Reliance Fresh,-445.49,debit
116,2024-08-12,Groceries,BigBasket,-268.02,debit
117,2024-08-12,Transport,Ola,-311.41,debit
118,2024-08-14,Dining,McDonalds,-361.44,debit
119,2024-08-14,GROCERIES,Local Kirana,-624.63,debit
120,2024-08-14,DINING,Cafe Coffee Day,-369.84,debit
121,2024-08-15,Groceries,Local Kirana,-415.3,debit
122,2024-08-15,SHOPPING,Myntra,-1172.03,debit
123,2024-08-15,Groceries,DMart,-660.76,debit
124,2024-08-15,DINING,Zomato,-282.19,debit
125,2024-08-16,Dining,Zomato,-292.52,debit
126,2024-08-16,Entertainment,Spotify,-253.07,debit
127,2024-08-16,DINING,McDonalds,-316.01,debit
128,2024-08-16,Groceries,Local Kirana,-658.89,debit
129,2024-08-16,GROCERIES,DMart,-443.17,debit
130,2024-08-17,Dining,Domino's,-394.34,debit
131,2024-08-18,Groceries,Local Kirana,-402.44,debit
132,2024-08-18,Groceries,DMart,-495.37,debit
133,2024-08-18,Groceries,Local Kirana,-667.25,debit
134,2024-08-18,Groceries,DMart,-608.32,debit
135,2024-08-18,Groceries,Local Kirana,-576.05,debit
136,2024-08-19,Entertainment,PVR Cinemas,-263.52,debit
137,2024-08-19,ENTERTAINMENT,Spotify,-298.8,debit
138,2024-08-20,Healthcare,,-1038.0,debit
139,2024-08-20,Shopping,Amazon,-400.62,debit
140,2024-08-20,Dining,McDonalds,-351.68,debit
141,2024-08-20,Shopping,Myntra,-764.71,debit
142,2024-08-20,Transport,Petrol Pump,-344.15,debit
143,2024-08-21,Entertainment,Netflix,-431.06,debit
144,2024-08-21,GROCERIES,Local Kirana,-668.5,debit
145,2024-08-22,HEALTHCARE,Local Clinic,-515.64,debit
146,2024-08-22,DINING,Domino's,-223.5,debit
147,2024-08-22,Transport,Uber,-89.71,debit
148,2024-08-22,UTILITIES,Water Dept,-642.31,debit
149,2024-08-23,Healthcare,Apollo Pharmacy,-670.09,debit
150,2024-08-23,Groceries,Local Kirana,-439.45,debit
151,2024-08-23,Utilities,Water Dept,-279.89,debit
152,2024-08-23,Utilities,Airtel Broadband,-225.05,debit
153,2024-08-24,Utilities,Water Dept,-713.49,debit
154,2024-08-24,Education,Udemy,-378.97,debit
155,2024-08-25,Transport,Metro Card,-104.06,debit
156,2024-08-26,TRANSPORT,Metro Card,-399.24,debit
157,2024-08-27,Groceries,Local Kirana,-171.36,debit
158,2024-08-27,HEALTHCARE,Local Clinic,-206.89,debit
159,2024-08-28,Entertainment,Netflix,-210.93,debit
160,2024-08-28,Entertainment,Spotify,-291.14,debit
161,2024-08-28,Transport,Metro Card,-99.28,debit
162,2024-08-28,Transport,Ola,-190.51,debit
163,2024-08-29,Groceries,BigBasket,-206.38,debit
164,2024-08-29,Dining,Domino's,-370.39,debit
165,2024-08-29,Groceries,BigBasket,-201.21,debit
166,2024-08-30,Groceries,Local Kirana,-547.55,debit
167,2024-08-30,Groceries,Reliance Fresh,-601.98,debit
168,2024-08-31,Utilities,Airtel Broadband,-832.27,debit
169,2024-08-31,TRANSPORT,Uber,-285.64,debit
170,2024-08-31,Healthcare,Health Insurance,-688.54,debit
171,2024-08-31,Transport,Ola,-200.21,debit
172,2024-09-01,Transport,Metro Card,-207.42,debit
173,2024-09-01,Groceries,Reliance Fresh,-431.98,debit
174,2024-09-01,Shopping,Amazon,-1124.74,debit
175,2024-09-01,Dining,McDonalds,-123.14,debit
176,2024-09-01,UTILITIES,Electricity Board,-734.34,debit
177,2024-09-01,Salary,Employer Inc,60979.91,credit
178,2024-09-01,GROCERIES,DMart,-157.2,debit
179,2024-09-01,Transport,Petrol Pump,-246.73,debit
180,2024-09-02,Dining,Cafe Coffee Day,-111.0,debit
181,2024-09-02,ENTERTAINMENT,Spotify,-402.75,debit
182,2024-09-03,Dining,Swiggy,-172.36,debit
183,2024-09-03,Groceries,Reliance Fresh,-386.74,debit
184,2024-09-04,Shopping,Myntra,-377.28,debit
185,2024-09-05,Entertainment,Spotify,-180.42,debit
186,2024-09-05,Rent,Landlord Transfer,-8363.65,debit
187,2024-09-05,Transport,Uber,-271.52,debit
188,2024-09-05,Transport,Petrol Pump,-336.56,debit
189,2024-09-06,Transport,Ola,-56.28,debit
190,2024-09-07,SHOPPING,Amazon,-825.18,debit
191,2024-09-07,GROCERIES,Local Kirana,-287.48,debit
192,2024-09-08,Groceries,Local Kirana,-673.29,debit
193,2024-09-08,Groceries,BigBasket,-619.2,debit
194,2024-09-08,SHOPPING,Flipkart,-1152.18,debit
195,2024-09-09,UTILITIES,Airtel Broadband,-778.72,debit
196,2024-09-10,Dining,McDonalds,-144.87,debit
197,2024-09-11,Dining,Swiggy,-277.09,debit
198,2024-09-11,GROCERIES,Reliance Fresh,-556.15,debit
199,2024-09-11,Shopping,Amazon,-1331.98,debit
200,2024-09-11,SHOPPING,Flipkart,-1161.23,debit
201,2024-09-11,Groceries,BigBasket,-523.81,debit
202,2024-09-11,Groceries,Local Kirana,-314.36,debit
203,2024-09-12,Groceries,BigBasket,-651.09,debit
204,2024-09-12,Healthcare,Local Clinic,-794.29,debit
205,2024-09-12,Transport,Metro Card,-298.17,debit
206,2024-09-12,Dining,Swiggy,-202.56,debit
207,2024-09-13,TRANSPORT,Metro Card,-156.96,debit
208,2024-09-13,Groceries,DMart,-171.45,debit
209,2024-09-13,Entertainment,Spotify,-279.52,debit
210,2024-09-14,Entertainment,BookMyShow,-393.41,debit
211,2024-09-14,Shopping,Myntra,-738.87,debit
212,2024-09-16,Utilities,Water Dept,-452.96,debit
213,2024-09-16,Dining,Domino's,-111.79,debit
214,2024-09-17,Shopping,Myntra,-1088.28,debit
215,2024-09-19,Healthcare,Local Clinic,-866.93,debit
216,2024-09-19,Groceries,Local Kirana,-569.97,debit
217,2024-09-19,Shopping,Local Store,-1480.98,debit
218,2024-09-20,Dining,McDonalds,-396.77,debit
219,2024-09-20,Entertainment,Netflix,-221.55,debit
220,2024-09-21,Groceries,DMart,-486.74,debit
221,2024-09-21,Groceries,BigBasket,-216.76,debit
222,2024-09-22,Utilities,Airtel Broadband,-853.84,debit
223,2024-09-22,Entertainment,PVR Cinemas,-154.69,debit
224,2024-09-22,Entertainment,Spotify,-425.77,debit
225,2024-09-22,Dining,Zomato,-232.69,debit
226,2024-09-22,Dining,Domino's,-245.32,debit
227,2024-09-23,Dining,Zomato,-386.22,debit
228,2024-09-23,Entertainment,Spotify,-299.87,debit
229,2024-09-24,Transport,Uber,-378.09,debit
230,2024-09-24,Dining,Cafe Coffee Day,-206.79,debit
231,2024-09-25,Education,Coursera,-1773.89,debit
232,2024-09-25,Entertainment,Netflix,-163.31,debit
233,2024-09-25,ENTERTAINMENT,Netflix,-430.75,debit
234,2024-09-26,Dining,Domino's,-327.46,debit
235,2024-09-27,Entertainment,Spotify,-451.04,debit
236,2024-09-27,GROCERIES,Local Kirana,-493.77,debit
237,2024-09-27,Healthcare,Local Clinic,-523.96,debit
238,2024-09-28,Dining,Domino's,-184.56,debit
239,2024-09-28,Healthcare,Local Clinic,-893.53,debit
240,2024-09-28,ENTERTAINMENT,Spotify,-437.5,debit
241,2024-09-28,Entertainment,Netflix,-347.94,debit
242,2024-09-28,Dining,Cafe Coffee Day,-275.1,debit
243,2024-09-28,Utilities,Electricity Board,-376.15,debit
244,2024-09-29,DINING,Cafe Coffee Day,-214.48,debit
245,2024-09-29,Groceries,BigBasket,-583.15,debit
246,2024-09-29,Utilities,Jio Recharge,-816.59,debit
247,2024-09-30,TRANSPORT,Metro Card,-196.9,debit
248,2024-09-30,ENTERTAINMENT,Spotify,-421.53,debit
249,2024-09-30,Dining,McDonalds,-264.61,debit
250,2024-10-01,UTILITIES,Electricity Board,-868.33,debit
251,2024-10-01,Dining,Zomato,-352.14,debit
252,2024-10-01,Dining,Zomato,-229.27,debit
253,2024-10-01,Salary,Employer Inc,58979.88,credit
254,2024-10-01,Groceries,Local Kirana,-695.19,debit
255,2024-10-02,Healthcare,Local Clinic,-1073.46,debit
256,2024-10-03,TRANSPORT,Metro Card,-293.24,debit
257,2024-10-03,Healthcare,Apollo Pharmacy,-182.88,debit
258,2024-10-03,Groceries,BigBasket,-194.13,debit
259,2024-10-03,Entertainment,PVR Cinemas,-339.95,debit
260,2024-10-04,Groceries,DMart,-656.55,debit
261,2024-10-04,Entertainment,Spotify,-403.84,debit
262,2024-10-04,Dining,McDonalds,-171.58,debit
263,2024-10-05,Rent,Landlord Transfer,-8366.81,debit
264,2024-10-05,DINING,Cafe Coffee Day,-221.36,debit
265,2024-10-06,UTILITIES,Water Dept,-704.56,debit
266,2024-10-06,Shopping,Myntra,-1046.27,debit
267,2024-10-06,GROCERIES,Reliance Fresh,-300.37,debit
268,2024-10-07,Education,Coursera,-573.37,debit
269,2024-10-07,Dining,Domino's,-184.75,debit
270,2024-10-07,DINING,McDonalds,-308.1,debit
271,2024-10-07,GROCERIES,Reliance Fresh,-423.49,debit
272,2024-10-07,Dining,Swiggy,-175.0,debit
273,2024-10-08,Shopping,Myntra,-763.96,debit
274,2024-10-08,Shopping,Myntra,-1022.3,debit
275,2024-10-08,Groceries,BigBasket,-615.93,debit
276,2024-10-08,Entertainment,Netflix,-162.58,debit
277,2024-10-09,Groceries,BigBasket,-414.49,debit
278,2024-10-09,Dining,Domino's,-364.72,debit
279,2024-10-10,Dining,Swiggy,-328.69,debit
280,2024-10-10,Groceries,Local Kirana,-434.03,debit
281,2024-10-11,Groceries,Reliance Fresh,-350.58,debit
282,2024-10-11,Groceries,BigBasket,-256.91,debit
283,2024-10-12,Entertainment,BookMyShow,-280.3,debit
284,2024-10-12,Healthcare,Apollo Pharmacy,-683.81,debit
285,2024-10-12,Dining,Domino's,-345.73,debit
286,2024-10-13,Groceries,BigBasket,-246.37,debit
287,2024-10-14,Groceries,BigBasket,-673.35,debit
288,2024-10-15,DINING,Domino's,-123.28,debit
289,2024-10-15,HEALTHCARE,Local Clinic,-1007.22,debit
290,2024-10-15,Groceries,DMart,-459.1,debit
291,2024-10-15,GROCERIES,Reliance Fresh,-189.2,debit
292,2024-10-15,Groceries,Reliance Fresh,-626.6,debit
293,2024-10-16,Utilities,Water Dept,-415.8,debit
294,2024-10-16,GROCERIES,DMart,-636.75,debit
295,2024-10-16,Transport,Petrol Pump,-367.66,debit
296,2024-10-17,Shopping,,-343.56,debit
297,2024-10-17,Entertainment,PVR Cinemas,-253.85,debit
298,2024-10-18,Groceries,Reliance Fresh,-656.46,debit
299,2024-10-18,Entertainment,Spotify,-312.22,debit
300,2024-10-19,Entertainment,Netflix,-346.03,debit
301,2024-10-19,Transport,Metro Card,-310.9,debit
302,2024-10-19,TRANSPORT,Metro Card,-376.24,debit
303,2024-10-20,Transport,Petrol Pump,-233.46,debit
304,2024-10-21,Groceries,Local Kirana,-170.29,debit
305,2024-10-21,Entertainment,BookMyShow,-418.31,debit
306,2024-10-21,Dining,Swiggy,-211.43,debit
307,2024-10-21,Education,Coursera,-356.19,debit
308,2024-10-21,Utilities,Electricity Board,-688.5,debit
309,2024-10-22,Groceries,DMart,-627.9,debit
310,2024-10-22,Shopping,Myntra,-1016.39,debit
311,2024-10-22,Dining,Zomato,-126.29,debit
312,2024-10-22,Healthcare,Local Clinic,-1121.15,debit
313,2024-10-22,Utilities,Jio Recharge,-324.19,debit
314,2024-10-23,Groceries,BigBasket,-555.45,debit
315,2024-10-24,DINING,McDonalds,-207.57,debit
316,2024-10-24,Groceries,Reliance Fresh,-271.47,debit
317,2024-10-24,Groceries,Local Kirana,-581.94,debit
318,2024-10-24,Groceries,Local Kirana,-252.37,debit
319,2024-10-25,Groceries,BigBasket,-295.03,debit
320,2024-10-25,Groceries,Reliance Fresh,-673.01,debit
321,2024-10-25,Healthcare,Apollo Pharmacy,-1166.87,debit
322,2024-10-25,Dining,Cafe Coffee Day,-381.49,debit
323,2024-10-25,Shopping,,-694.25,debit
324,2024-10-26,Entertainment,Netflix,-334.03,debit
325,2024-10-26,Entertainment,PVR Cinemas,-477.11,debit
326,2024-10-26,Entertainment,PVR Cinemas,-327.66,debit
327,2024-10-26,Groceries,BigBasket,-307.17,debit
328,2024-10-26,Groceries,Local Kirana,-464.55,debit
329,2024-10-26,UTILITIES,Water Dept,-382.46,debit
330,2024-10-27,Groceries,BigBasket,-339.86,debit
331,2024-10-27,DINING,Swiggy,-269.19,debit
332,2024-10-28,Groceries,Reliance Fresh,-442.22,debit
333,2024-10-28,Shopping,Local Store,-1323.48,debit
334,2024-10-29,DINING,Cafe Coffee Day,-133.77,debit
335,2024-10-29,Shopping,Amazon,-596.22,debit
336,2024-10-30,Groceries,,-356.14,debit
337,2024-10-30,Shopping,Myntra,-1343.05,debit
338,2024-10-30,Dining,McDonalds,-205.27,debit
339,2024-10-30,Groceries,DMart,-281.88,debit
340,2024-10-30,DINING,Cafe Coffee Day,-274.64,debit
341,2024-11-01,Dining,Swiggy,-274.66,debit
342,2024-11-01,Salary,Employer Inc,52340.28,credit
343,2024-11-01,Education,College Fee,-774.77,debit
344,2024-11-02,Shopping,Local Store,-659.45,debit
345,2024-11-02,Groceries,BigBasket,-406.2,debit
346,2024-11-03,Transport,Ola,-368.29,debit
347,2024-11-03,Dining,McDonalds,-391.22,debit
348,2024-11-03,Dining,Swiggy,-160.56,debit
349,2024-11-03,Entertainment,Netflix,-386.99,debit
350,2024-11-04,ENTERTAINMENT,Netflix,-170.37,debit
351,2024-11-04,SHOPPING,Myntra,-568.3,debit
352,2024-11-05,Utilities,Water Dept,-310.02,debit
353,2024-11-05,Transport,Petrol Pump,-396.63,debit
354,2024-11-05,Dining,Swiggy,-380.85,debit
355,2024-11-05,SHOPPING,Amazon,-1299.7,debit
356,2024-11-05,Rent,Landlord Transfer,-8608.48,debit
357,2024-11-07,Dining,McDonalds,-183.81,debit
358,2024-11-07,GROCERIES,BigBasket,-665.13,debit
359,2024-11-08,Transport,Ola,-132.59,debit
360,2024-11-08,SHOPPING,Flipkart,-1213.84,debit
361,2024-11-08,Shopping,Flipkart,-425.89,debit
362,2024-11-09,Dining,Zomato,-231.52,debit
363,2024-11-09,TRANSPORT,Petrol Pump,-126.02,debit
364,2024-11-09,Shopping,Local Store,-846.8,debit
365,2024-11-10,Dining,Swiggy,-368.27,debit
366,2024-11-10,Education,Udemy,-1294.75,debit
367,2024-11-11,Groceries,DMart,-397.88,debit
368,2024-11-11,Transport,Ola,-106.48,debit
369,2024-11-11,Dining,McDonalds,-202.54,debit
370,2024-11-12,Groceries,Local Kirana,-247.59,debit
371,2024-11-12,TRANSPORT,Petrol Pump,-248.91,debit
372,2024-11-12,Shopping,Myntra,-230.67,debit
373,2024-11-13,Shopping,Local Store,-436.24,debit
374,2024-11-13,Transport,Uber,-391.6,debit
375,2024-11-13,Dining,Zomato,-285.15,debit
376,2024-11-14,Groceries,BigBasket,-426.72,debit
377,2024-11-14,GROCERIES,Reliance Fresh,-186.57,debit
378,2024-11-15,Groceries,Reliance Fresh,-317.31,debit
379,2024-11-15,Dining,McDonalds,-310.08,debit
380,2024-11-16,Utilities,Jio Recharge,-332.19,debit
381,2024-11-16,Groceries,BigBasket,-696.62,debit
382,2024-11-16,Groceries,DMart,-506.28,debit
383,2024-11-17,Healthcare,Apollo Pharmacy,-964.98,debit
384,2024-11-17,Utilities,Water Dept,-706.48,debit
385,2024-11-18,Groceries,Local Kirana,-308.89,debit
386,2024-11-19,Dining,McDonalds,-273.16,debit
387,2024-11-19,Shopping,Myntra,-235.9,debit
388,2024-11-20,Entertainment,Netflix,-480.42,debit
389,2024-11-21,Groceries,Local Kirana,-533.5,debit
390,2024-11-21,Groceries,DMart,-157.92,debit
391,2024-11-21,Education,Coursera,-849.03,debit
392,2024-11-21,Dining,Domino's,-280.73,debit
393,2024-11-21,UTILITIES,Airtel Broadband,-435.24,debit
394,2024-11-22,Groceries,BigBasket,-597.59,debit
395,2024-11-22,Shopping,Myntra,-891.41,debit
396,2024-11-22,Groceries,Local Kirana,-574.01,debit
397,2024-11-22,Dining,,-231.69,debit
398,2024-11-23,Entertainment,BookMyShow,-279.43,debit
399,2024-11-23,Dining,McDonalds,-224.06,debit
400,2024-11-23,Shopping,Local Store,-470.34,debit
401,2024-11-23,Transport,Ola,-208.12,debit
402,2024-11-23,HEALTHCARE,Apollo Pharmacy,-937.66,debit
403,2024-11-24,Groceries,Reliance Fresh,-470.67,debit
404,2024-11-24,Entertainment,PVR Cinemas,-412.91,debit
405,2024-11-24,Dining,Cafe Coffee Day,-382.16,debit
406,2024-11-24,Entertainment,Spotify,-222.48,debit
407,2024-11-24,DINING,McDonalds,-218.37,debit
408,2024-11-24,Dining,Domino's,-363.8,debit
409,2024-11-25,Groceries,BigBasket,-602.53,debit
410,2024-11-25,Dining,Cafe Coffee Day,-260.52,debit
411,2024-11-26,GROCERIES,Local Kirana,-271.12,debit
412,2024-11-26,Education,Coursera,-1538.43,debit
413,2024-11-26,Transport,Ola,-116.39,debit
414,2024-11-26,Groceries,Local Kirana,-193.15,debit
415,2024-11-26,Dining,McDonalds,-200.56,debit
416,2024-11-27,Utilities,Electricity Board,-741.55,debit
417,2024-11-27,Shopping,Myntra,-1464.61,debit
418,2024-11-27,Transport,Petrol Pump,-214.95,debit
419,2024-11-27,Transport,Ola,-57.67,debit
420,2024-11-27,Groceries,DMart,-285.28,debit
421,2024-11-28,Groceries,Reliance Fresh,-370.17,debit
422,2024-11-28,Groceries,Reliance Fresh,-460.44,debit
423,2024-11-28,Utilities,Airtel Broadband,-406.35,debit
424,2024-11-29,GROCERIES,Local Kirana,-555.63,debit
425,2024-11-30,Entertainment,BookMyShow,-401.15,debit
426,2024-11-30,Dining,Cafe Coffee Day,-216.6,debit
427,2024-12-01,Salary,Employer Inc,52339.92,credit
428,2024-12-01,Dining,Swiggy,-393.24,debit
429,2024-12-01,Dining,Zomato,-248.34,debit
430,2024-12-01,GROCERIES,BigBasket,-685.4,debit
431,2024-12-01,Utilities,Airtel Broadband,-817.85,debit
432,2024-12-01,Dining,McDonalds,-100.56,debit
433,2024-12-01,Groceries,Local Kirana,-301.14,debit
434,2024-12-02,Dining,Swiggy,-322.23,debit
435,2024-12-03,Entertainment,Spotify,-449.51,debit
436,2024-12-03,Dining,Swiggy,-156.44,debit
437,2024-12-04,Dining,McDonalds,-389.0,debit
438,2024-12-04,GROCERIES,BigBasket,-538.84,debit
439,2024-12-04,Utilities,Airtel Broadband,-709.52,debit
440,2024-12-04,Groceries,Local Kirana,-410.37,debit
441,2024-12-04,Entertainment,BookMyShow,-329.33,debit
442,2024-12-04,Shopping,Amazon,-220.33,debit
443,2024-12-05,Rent,Landlord Transfer,-9049.51,debit
444,2024-12-05,Education,Udemy,-664.87,debit
445,2024-12-05,Shopping,Flipkart,-1263.36,debit
446,2024-12-05,Groceries,BigBasket,-357.75,debit
447,2024-12-05,SHOPPING,Flipkart,-1137.85,debit
448,2024-12-06,DINING,McDonalds,-138.25,debit
449,2024-12-06,Groceries,Reliance Fresh,-424.04,debit
450,2024-12-07,Healthcare,Local Clinic,-730.7,debit
451,2024-12-07,Groceries,DMart,-481.4,debit
452,2024-12-07,Dining,McDonalds,-167.15,debit
453,2024-12-07,Utilities,Jio Recharge,-497.38,debit
454,2024-12-07,Entertainment,BookMyShow,-321.28,debit
455,2024-12-08,Shopping,Flipkart,-1339.66,debit
456,2024-12-08,Groceries,Local Kirana,-379.89,debit
457,2024-12-09,Utilities,Water Dept,-448.8,debit
458,2024-12-09,Groceries,,-608.51,debit
459,2024-12-10,Utilities,Jio Recharge,-464.19,debit
460,2024-12-10,Groceries,BigBasket,-556.82,debit
461,2024-12-10,Groceries,DMart,-272.99,debit
462,2024-12-10,Groceries,DMart,-287.25,debit
463,2024-12-11,Entertainment,BookMyShow,-363.64,debit
464,2024-12-11,Healthcare,Health Insurance,-358.14,debit
465,2024-12-11,ENTERTAINMENT,PVR Cinemas,-415.39,debit
466,2024-12-11,Dining,Zomato,-264.39,debit
467,2024-12-12,Groceries,DMart,-311.23,debit
468,2024-12-14,Transport,Metro Card,-396.94,debit
469,2024-12-14,Shopping,Amazon,-556.29,debit
470,2024-12-14,GROCERIES,DMart,-297.18,debit
471,2024-12-15,Groceries,Reliance Fresh,-627.01,debit
472,2024-12-15,Groceries,BigBasket,-319.86,debit
473,2024-12-16,Dining,McDonalds,-309.24,debit
474,2024-12-16,Healthcare,Health Insurance,-146.15,debit
475,2024-12-16,Shopping,Myntra,-992.52,debit
476,2024-12-16,Groceries,Local Kirana,-280.49,debit
477,2024-12-16,Transport,Uber,-240.24,debit
478,2024-12-17,Entertainment,Netflix,-181.99,debit
479,2024-12-17,Dining,Domino's,-311.87,debit
480,2024-12-17,Shopping,Local Store,-1411.07,debit
481,2024-12-17,Groceries,Reliance Fresh,-563.99,debit
482,2024-12-18,Dining,Cafe Coffee Day,-271.73,debit
483,2024-12-18,Groceries,BigBasket,-192.34,debit
484,2024-12-18,Groceries,DMart,-326.92,debit
485,2024-12-19,Groceries,Local Kirana,-595.43,debit
