transaction_id,transaction_date,category,merchant,amount,txn_type,year_month,day_of_week,month_name
29,2024-07-08,Groceries,Reliance Fresh,-289.64,debit,2024-07,Monday,Jul 2024
30,2024-07-08,Healthcare,Apollo Pharmacy,-903.91,debit,2024-07,Monday,Jul 2024
31,2024-07-09,Entertainment,PVR Cinemas,-293.86,debit,2024-07,Tuesday,Jul 2024
32,2024-07-09,Transport,Petrol Pump,-152.72,debit,2024-07,Tuesday,Jul 2024
33,2024-07-09,Groceries,Reliance Fresh,-549.28,debit,2024-07,Tuesday,Jul 2024
34,2024-07-10,Utilities,Electricity Board,-681.24,debit,2024-07,Wednesday,Jul 2024
35,2024-07-10,Healthcare,Local Clinic,-386.98,debit,2024-07,Wednesday,Jul 2024
36,2024-07-10,Groceries,DMart,-331.99,debit,2024-07,Wednesday,Jul 2024
37,2024-07-11,Groceries,DMart,-349.68,debit,2024-07,Thursday,Jul 2024
38,2024-07-11,Groceries,DMart,-497.61,debit,2024-07,Thursday,Jul 2024
39,2024-07-11,Shopping,Flipkart,-417.14,debit,2024-07,Thursday,Jul 2024
40,2024-07-12,Healthcare,Local Clinic,-601.22,debit,2024-07,Friday,Jul 2024
41,2024-07-12,Dining,Cafe Coffee Day,-394.37,debit,2024-07,Friday,Jul 2024
42,2024-07-12,Groceries,BigBasket,-413.6,debit,2024-07,Friday,Jul 2024
43,2024-07-12,Groceries,Reliance Fresh,-514.65,debit,2024-07,Friday,Jul 2024
44,2024-07-12,Transport,Metro Card,-388.49,debit,2024-07,Friday,Jul 2024
45,2024-07-12,Healthcare,Health Insurance,-608.94,debit,2024-07,Friday,Jul 2024
46,2024-07-13,Dining,McDonalds,-224.74,debit,2024-07,Saturday,Jul 2024
47,2024-07-13,Groceries,Reliance Fresh,-425.83,debit,2024-07,Saturday,Jul 2024
48,2024-07-13,Entertainment,BookMyShow,-231.33,debit,2024-07,Saturday,Jul 2024
49,2024-07-14,Education,College Fee,-1002.15,debit,2024-07,Sunday,Jul 2024
50,2024-07-14,Utilities,Electricity Board,-730.1,debit,2024-07,Sunday,Jul 2024
51,2024-07-14,Transport,Uber,-178.78,debit,2024-07,Sunday,Jul 2024
52,2024-07-16,Dining,Domino's,-319.15,debit,2024-07,Tuesday,Jul 2024
53,2024-07-16,Entertainment,Netflix,-325.22,debit,2024-07,Tuesday,Jul 2024
54,2024-07-17,Groceries,Reliance Fresh,-633.92,debit,2024-07,Wednesday,Jul 2024
55,2024-07-17,Groceries,DMart,-498.7,debit,2024-07,Wednesday,Jul 2024
56,2024-07-17,Dining,Swiggy,-316.06,debit,2024-07,Wednesday,Jul 2024
57,2024-07-19,Entertainment,PVR Cinemas,-395.75,debit,2024-07,Friday,Jul 2024
58,2024-07-19,Dining,Cafe Coffee Day,-136.71,debit,2024-07,Friday,Jul 2024
59,2024-07-19,Shopping,Myntra,-1067.81,debit,2024-07,Friday,Jul 2024
60,2024-07-19,Entertainment,BookMyShow,-169.8,debit,2024-07,Friday,Jul 2024
61,2024-07-20,Utilities,Airtel Broadband,-893.63,debit,2024-07,Saturday,Jul 2024
62,2024-07-20,Education,Udemy,-742.4,debit,2024-07,Saturday,Jul 2024
63,2024-07-20,Education,College Fee,-372.82,debit,2024-07,Saturday,Jul 2024
64,2024-07-21,Groceries,Reliance Fresh,-548.84,debit,2024-07,Sunday,Jul 2024
65,2024-07-21,Transport,Metro Card,-321.6,debit,2024-07,Sunday,Jul 2024
66,2024-07-21,Utilities,Electricity Board,-817.49,debit,2024-07,Sunday,Jul 2024
67,2024-07-22,Groceries,DMart,-688.39,debit,2024-07,Monday,Jul 2024
68,2024-07-23,Entertainment,BookMyShow,-352.01,debit,2024-07,Tuesday,Jul 2024
69,2024-07-24,Transport,Uber,-286.64,debit,2024-07,Wednesday,Jul 2024
70,2024-07-24,Dining,Cafe Coffee Day,-320.61,debit,2024-07,Wednesday,Jul 2024
71,2024-07-25,Groceries,Local Kirana,-545.64,debit,2024-07,Thursday,Jul 2024
72,2024-07-25,Entertainment,Spotify,-173.86,debit,2024-07,Thursday,Jul 2024
73,2024-07-25,Shopping,Local Store,-816.16,debit,2024-07,Thursday,Jul 2024
74,2024-07-25,Groceries,BigBasket,-452.24,debit,2024-07,Thursday,Jul 2024
75,2024-07-26,Shopping,Myntra,-951.79,debit,2024-07,Friday,Jul 2024
76,2024-07-26,Groceries,DMart,-698.42,debit,2024-07,Friday,Jul 2024
77,2024-07-26,Shopping,Local Store,-1172.74,debit,2024-07,Friday,Jul 2024
78,2024-07-26,Groceries,Local Kirana,-262.79,debit,2024-07,Friday,Jul 2024
79,2024-07-27,Entertainment,PVR Cinemas,-458.03,debit,2024-07,Saturday,Jul 2024
80,2024-07-27,Shopping,Flipkart,-396.38,debit,2024-07,Saturday,Jul 2024
81,2024-07-28,Groceries,Local Kirana,-640.91,debit,2024-07,Sunday,Jul 2024
82,2024-07-28,Groceries,Local Kirana,-418.22,debit,2024-07,Sunday,Jul 2024
83,2024-07-28,Groceries,BigBasket,-154.97,debit,2024-07,Sunday,Jul 2024
84,2024-07-29,Shopping,Amazon,-1307.85,debit,2024-07,Monday,Jul 2024
85,2024-07-30,Dining,Zomato,-175.84,debit,2024-07,Tuesday,Jul 2024
86,2024-07-30,Entertainment,BookMyShow,-394.17,debit,2024-07,Tuesday,Jul 2024
87,2024-07-31,Shopping,Flipkart,-1265.93,debit,2024-07,Wednesday,Jul 2024
88,2024-08-01,Salary,Employer Inc,64260.71,credit,2024-08,Thursday,Aug 2024
89,2024-08-01,Groceries,Local Kirana,-449.67,debit,2024-08,Thursday,Aug 2024
90,2024-08-02,Dining,Domino's,-346.19,debit,2024-08,Friday,Aug 2024
91,2024-08-02,Groceries,Reliance Fresh,-517.86,debit,2024-08,Friday,Aug 2024
92,2024-08-04,Shopping,Local Store,-1493.32,debit,2024-08,Sunday,Aug 2024
93,2024-08-04,Dining,McDonalds,-391.51,debit,2024-08,Sunday,Aug 2024
94,2024-08-05,Dining,Zomato,-212.05,debit,2024-08,Monday,Aug 2024
95,2024-08-05,Dining,Cafe Coffee Day,-168.6,debit,2024-08,Monday,Aug 2024
96,2024-08-05,Rent,Landlord Transfer,-8424.68,debit,2024-08,Monday,Aug 2024
97,2024-08-05,Entertainment,Netflix,-326.97,debit,2024-08,Monday,Aug 2024
98,2024-08-06,Healthcare,Apollo Pharmacy,-708.04,debit,2024-08,Tuesday,Aug 2024
99,2024-08-06,Entertainment,PVR Cinemas,-425.58,debit,2024-08,Tuesday,Aug 2024
100,2024-08-06,Groceries,Local Kirana,-572.91,debit,2024-08,Tuesday,Aug 2024
101,2024-08-07,Dining,Zomato,-355.22,debit,2024-08,Wednesday,Aug 2024
102,2024-08-08,Shopping,Local Store,-1064.48,debit,2024-08,Thursday,Aug 2024
103,2024-08-08,Dining,McDonalds,-219.55,debit,2024-08,Thursday,Aug 2024
104,2024-08-09,Groceries,DMart,-355.96,debit,2024-08,Friday,Aug 2024
105,2024-08-10,Shopping,Amazon,-1010.29,debit,2024-08,Saturday,Aug 2024
106,2024-08-10,Groceries,Local Kirana,-372.76,debit,2024-08,Saturday,Aug 2024
107,2024-08-10,Groceries,Local Kirana,-401.91,debit,2024-08,Saturday,Aug 2024
108,2024-08-11,Dining,Domino's,-287.23,debit,2024-08,Sunday,Aug 2024
109,2024-08-11,Groceries,Reliance Fresh,-633.25,debit,2024-08,Sunday,Aug 2024
110,2024-08-11,Shopping,Amazon,-453.01,debit,2024-08,Sunday,Aug 2024
111,2024-08-11,Shopping,Amazon,-303.25,debit,2024-08,Sunday,Aug 2024
112,2024-08-11,Dining,Cafe Coffee Day,-149.81,debit,2024-08,Sunday,Aug 2024
113,2024-08-11,Transport,Uber,-96.6,debit,2024-08,Sunday,Aug 2024
114,2024-08-11,Dining,Domino's,-109.43,debit,2024-08,Sunday,Aug 2024
115,2024-08-12,Groceries,Reliance Fresh,-445.49,debit,2024-08,Monday,Aug 2024
116,2024-08-12,Groceries,BigBasket,-268.02,debit,2024-08,Monday,Aug 2024
117,2024-08-12,Transport,Ola,-311.41,debit,2024-08,Monday,Aug 2024
118,2024-08-14,Dining,Cafe Coffee Day,-369.84,debit,2024-08,Wednesday,Aug 2024
119,2024-08-14,Dining,McDonalds,-361.44,debit,2024-08,Wednesday,Aug 2024
120,2024-08-14,Groceries,Local Kirana,-624.63,debit,2024-08,Wednesday,Aug 2024
121,2024-08-15,Shopping,Myntra,-1172.03,debit,2024-08,Thursday,Aug 2024
122,2024-08-15,Groceries,DMart,-660.76,debit,2024-08,Thursday,Aug 2024
123,2024-08-15,Groceries,Local Kirana,-415.3,debit,2024-08,Thursday,Aug 2024
124,2024-08-15,Dining,Zomato,-282.19,debit,2024-08,Thursday,Aug 2024
125,2024-08-16,Groceries,Local Kirana,-658.89,debit,2024-08,Friday,Aug 2024
126,2024-08-16,Dining,McDonalds,-316.01,debit,2024-08,Friday,Aug 2024
127,2024-08-16,Groceries,DMart,-443.17,debit,2024-08,Friday,Aug 2024
128,2024-08-16,Dining,Zomato,-292.52,debit,2024-08,Friday,Aug 2024
129,2024-08-16,Entertainment,Spotify,-253.07,debit,2024-08,Friday,Aug 2024
130,2024-08-17,Dining,Domino's,-394.34,debit,2024-08,Saturday,Aug 2024
131,2024-08-18,Groceries,Local Kirana,-402.44,debit,2024-08,Sunday,Aug 2024
132,2024-08-18,Groceries,DMart,-495.37,debit,2024-08,Sunday,Aug 2024
133,2024-08-18,Groceries,Local Kirana,-667.25,debit,2024-08,Sunday,Aug 2024
134,2024-08-18,Groceries,DMart,-608.32,debit,2024-08,Sunday,Aug 2024
135,2024-08-18,Groceries,Local Kirana,-576.05,debit,2024-08,Sunday,Aug 2024
136,2024-08-19,Entertainment,PVR Cinemas,-263.52,debit,2024-08,Monday,Aug 2024
137,2024-08-19,Entertainment,Spotify,-298.8,debit,2024-08,Monday,Aug 2024
138,2024-08-20,Healthcare,Unknown,-1038.0,debit,2024-08,Tuesday,Aug 2024
139,2024-08-20,Shopping,Amazon,-400.62,debit,2024-08,Tuesday,Aug 2024
140,2024-08-20,Dining,McDonalds,-351.68,debit,2024-08,Tuesday,Aug 2024
141,2024-08-20,Shopping,Myntra,-764.71,debit,2024-08,Tuesday,Aug 2024
142,2024-08-20,Transport,Petrol Pump,-344.15,debit,2024-08,Tuesday,Aug 2024
143,2024-08-21,Groceries,Local Kirana,-668.5,debit,2024-08,Wednesday,Aug 2024
144,2024-08-21,Entertainment,Netflix,-431.06,debit,2024-08,Wednesday,Aug 2024
145,2024-08-22,Healthcare,Local Clinic,-515.64,debit,2024-08,Thursday,Aug 2024
146,2024-08-22,Dining,Domino's,-223.5,debit,2024-08,Thursday,Aug 2024
147,2024-08-22,Transport,Uber,-89.71,debit,2024-08,Thursday,Aug 2024
148,2024-08-22,Utilities,Water Dept,-642.31,debit,2024-08,Thursday,Aug 2024
149,2024-08-23,Healthcare,Apollo Pharmacy,-670.09,debit,2024-08,Friday,Aug 2024
150,2024-08-23,Groceries,Local Kirana,-439.45,debit,2024-08,Friday,Aug 2024
151,2024-08-23,Utilities,Water Dept,-279.89,debit,2024-08,Friday,Aug 2024
152,2024-08-23,Utilities,Airtel Broadband,-225.05,debit,2024-08,Friday,Aug 2024
153,2024-08-24,Utilities,Water Dept,-713.49,debit,2024-08,Saturday,Aug 2024
154,2024-08-24,Education,Udemy,-378.97,debit,2024-08,Saturday,Aug 2024
155,2024-08-25,Transport,Metro Card,-104.06,debit,2024-08,Sunday,Aug 2024
156,2024-08-26,Transport,Metro Card,-399.24,debit,2024-08,Monday,Aug 2024
157,2024-08-27,Healthcare,Local Clinic,-206.89,debit,2024-08,Tuesday,Aug 2024
158,2024-08-27,Groceries,Local Kirana,-171.36,debit,2024-08,Tuesday,Aug 2024
159,2024-08-28,Transport,Ola,-190.51,debit,2024-08,Wednesday,Aug 2024
160,2024-08-28,Transport,Metro Card,-99.28,debit,2024-08,Wednesday,Aug 2024
161,2024-08-28,Entertainment,Spotify,-291.14,debit,2024-08,Wednesday,Aug 2024
162,2024-08-28,Entertainment,Netflix,-210.93,debit,2024-08,Wednesday,Aug 2024
163,2024-08-29,Groceries,BigBasket,-206.38,debit,2024-08,Thursday,Aug 2024
164,2024-08-29,Dining,Domino's,-370.39,debit,2024-08,Thursday,Aug 2024
165,2024-08-29,Groceries,BigBasket,-201.21,debit,2024-08,Thursday,Aug 2024
166,2024-08-30,Groceries,Local Kirana,-547.55,debit,2024-08,Friday,Aug 2024
167,2024-08-30,Groceries,Reliance Fresh,-601.98,debit,2024-08,Friday,Aug 2024
168,2024-08-31,Utilities,Airtel Broadband,-832.27,debit,2024-08,Saturday,Aug 2024
169,2024-08-31,Transport,Uber,-285.64,debit,2024-08,Saturday,Aug 2024
170,2024-08-31,Healthcare,Health Insurance,-688.54,debit,2024-08,Saturday,Aug 2024
171,2024-08-31,Transport,Ola,-200.21,debit,2024-08,Saturday,Aug 2024
172,2024-09-01,Transport,Petrol Pump,-246.73,debit,2024-09,Sunday,Sep 2024
173,2024-09-01,Groceries,DMart,-157.2,debit,2024-09,Sunday,Sep 2024
174,2024-09-01,Salary,Employer Inc,60979.91,credit,2024-09,Sunday,Sep 2024
175,2024-09-01,Utilities,Electricity Board,-734.34,debit,2024-09,Sunday,Sep 2024
176,2024-09-01,Shopping,Amazon,-1124.74,debit,2024-09,Sunday,Sep 2024
177,2024-09-01,Groceries,Reliance Fresh,-431.98,debit,2024-09,Sunday,Sep 2024
178,2024-09-01,Transport,Metro Card,-207.42,debit,2024-09,Sunday,Sep 2024
179,2024-09-01,Dining,McDonalds,-123.14,debit,2024-09,Sunday,Sep 2024
180,2024-09-02,Dining,Cafe Coffee Day,-111.0,debit,2024-09,Monday,Sep 2024
181,2024-09-02,Entertainment,Spotify,-402.75,debit,2024-09,Monday,Sep 2024
182,2024-09-03,Dining,Swiggy,-172.36,debit,2024-09,Tuesday,Sep 2024
183,2024-09-03,Groceries,Reliance Fresh,-386.74,debit,2024-09,Tuesday,Sep 2024
184,2024-09-04,Shopping,Myntra,-377.28,debit,2024-09,Wednesday,Sep 2024
185,2024-09-05,Entertainment,Spotify,-180.42,debit,2024-09,Thursday,Sep 2024
186,2024-09-05,Rent,Landlord Transfer,-8363.65,debit,2024-09,Thursday,Sep 2024
187,2024-09-05,Transport,Uber,-271.52,debit,2024-09,Thursday,Sep 2024
188,2024-09-05,Transport,Petrol Pump,-336.56,debit,2024-09,Thursday,Sep 2024
189,2024-09-06,Transport,Ola,-56.28,debit,2024-09,Friday,Sep 2024
190,2024-09-07,Groceries,Local Kirana,-287.48,debit,2024-09,Saturday,Sep 2024
191,2024-09-07,Shopping,Amazon,-825.18,debit,2024-09,Saturday,Sep 2024
192,2024-09-08,Shopping,Flipkart,-1152.18,debit,2024-09,Sunday,Sep 2024
193,2024-09-08,Groceries,Local Kirana,-673.29,debit,2024-09,Sunday,Sep 2024
194,2024-09-08,Groceries,BigBasket,-619.2,debit,2024-09,Sunday,Sep 2024
195,2024-09-09,Utilities,Airtel Broadband,-778.72,debit,2024-09,Monday,Sep 2024
196,2024-09-10,Dining,McDonalds,-144.87,debit,2024-09,Tuesday,Sep 2024
197,2024-09-11,Dining,Swiggy,-277.09,debit,2024-09,Wednesday,Sep 2024
198,2024-09-11,Groceries,Reliance Fresh,-556.15,debit,2024-09,Wednesday,Sep 2024
199,2024-09-11,Shopping,Amazon,-1331.98,debit,2024-09,Wednesday,Sep 2024
200,2024-09-11,Shopping,Flipkart,-1161.23,debit,2024-09,Wednesday,Sep 2024
201,2024-09-11,Groceries,BigBasket,-523.81,debit,2024-09,Wednesday,Sep 2024
202,2024-09-11,Groceries,Local Kirana,-314.36,debit,2024-09,Wednesday,Sep 2024
203,2024-09-12,Groceries,BigBasket,-651.09,debit,2024-09,Thursday,Sep 2024
204,2024-09-12,Healthcare,Local Clinic,-794.29,debit,2024-09,Thursday,Sep 2024
205,2024-09-12,Transport,Metro Card,-298.17,debit,2024-09,Thursday,Sep 2024
206,2024-09-12,Dining,Swiggy,-202.56,debit,2024-09,Thursday,Sep 2024
207,2024-09-13,Entertainment,Spotify,-279.52,debit,2024-09,Friday,Sep 2024
208,2024-09-13,Groceries,DMart,-171.45,debit,2024-09,Friday,Sep 2024
209,2024-09-13,Transport,Metro Card,-156.96,debit,2024-09,Friday,Sep 2024
210,2024-09-14,Entertainment,BookMyShow,-393.41,debit,2024-09,Saturday,Sep 2024
211,2024-09-14,Shopping,Myntra,-738.87,debit,2024-09,Saturday,Sep 2024
212,2024-09-16,Utilities,Water Dept,-452.96,debit,2024-09,Monday,Sep 2024
213,2024-09-16,Dining,Domino's,-111.79,debit,2024-09,Monday,Sep 2024
214,2024-09-17,Shopping,Myntra,-1088.28,debit,2024-09,Tuesday,Sep 2024
215,2024-09-19,Healthcare,Local Clinic,-866.93,debit,2024-09,Thursday,Sep 2024
216,2024-09-19,Groceries,Local Kirana,-569.97,debit,2024-09,Thursday,Sep 2024
217,2024-09-19,Shopping,Local Store,-1480.98,debit,2024-09,Thursday,Sep 2024
218,2024-09-20,Dining,McDonalds,-396.77,debit,2024-09,Friday,Sep 2024
219,2024-09-20,Entertainment,Netflix,-221.55,debit,2024-09,Friday,Sep 2024
220,2024-09-21,Groceries,DMart,-486.74,debit,2024-09,Saturday,Sep 2024
221,2024-09-21,Groceries,BigBasket,-216.76,debit,2024-09,Saturday,Sep 2024
222,2024-09-22,Dining,Domino's,-245.32,debit,2024-09,Sunday,Sep 2024
223,2024-09-22,Dining,Zomato,-232.69,debit,2024-09,Sunday,Sep 2024
224,2024-09-22,Entertainment,Spotify,-425.77,debit,2024-09,Sunday,Sep 2024
225,2024-09-22,Entertainment,PVR Cinemas,-154.69,debit,2024-09,Sunday,Sep 2024
226,2024-09-22,Utilities,Airtel Broadband,-853.84,debit,2024-09,Sunday,Sep 2024
227,2024-09-23,Dining,Zomato,-386.22,debit,2024-09,Monday,Sep 2024
228,2024-09-23,Entertainment,Spotify,-299.87,debit,2024-09,Monday,Sep 2024
229,2024-09-24,Transport,Uber,-378.09,debit,2024-09,Tuesday,Sep 2024
230,2024-09-24,Dining,Cafe Coffee Day,-206.79,debit,2024-09,Tuesday,Sep 2024
231,2024-09-25,Education,Coursera,-1773.89,debit,2024-09,Wednesday,Sep 2024
232,2024-09-25,Entertainment,Netflix,-163.31,debit,2024-09,Wednesday,Sep 2024
233,2024-09-25,Entertainment,Netflix,-430.75,debit,2024-09,Wednesday,Sep 2024
234,2024-09-26,Dining,Domino's,-327.46,debit,2024-09,Thursday,Sep 2024
235,2024-09-27,Entertainment,Spotify,-451.04,debit,2024-09,Friday,Sep 2024
236,2024-09-27,Groceries,Local Kirana,-493.77,debit,2024-09,Friday,Sep 2024
237,2024-09-27,Healthcare,Local Clinic,-523.96,debit,2024-09,Friday,Sep 2024
238,2024-09-28,Utilities,Electricity Board,-376.15,debit,2024-09,Saturday,Sep 2024
239,2024-09-28,Dining,Cafe Coffee Day,-275.1,debit,2024-09,Saturday,Sep 2024
240,2024-09-28,Entertainment,Netflix,-347.94,debit,2024-09,Saturday,Sep 2024
241,2024-09-28,Entertainment,Spotify,-437.5,debit,2024-09,Saturday,Sep 2024
242,2024-09-28,Healthcare,Local Clinic,-893.53,debit,2024-09,Saturday,Sep 2024
243,2024-09-28,Dining,Domino's,-184.56,debit,2024-09,Saturday,Sep 2024
244,2024-09-29,Dining,Cafe Coffee Day,-214.48,debit,2024-09,Sunday,Sep 2024
245,2024-09-29,Groceries,BigBasket,-583.15,debit,2024-09,Sunday,Sep 2024
246,2024-09-29,Utilities,Jio Recharge,-816.59,debit,2024-09,Sunday,Sep 2024
247,2024-09-30,Transport,Metro Card,-196.9,debit,2024-09,Monday,Sep 2024
248,2024-09-30,Entertainment,Spotify,-421.53,debit,2024-09,Monday,Sep 2024
249,2024-09-30,Dining,McDonalds,-264.61,debit,2024-09,Monday,Sep 2024
250,2024-10-01,Utilities,Electricity Board,-868.33,debit,2024-10,Tuesday,Oct 2024
251,2024-10-01,Dining,Zomato,-352.14,debit,2024-10,Tuesday,Oct 2024
252,2024-10-01,Dining,Zomato,-229.27,debit,2024-10,Tuesday,Oct 2024
253,2024-10-01,Salary,Employer Inc,58979.88,credit,2024-10,Tuesday,Oct 2024
254,2024-10-01,Groceries,Local Kirana,-695.19,debit,2024-10,Tuesday,Oct 2024
255,2024-10-02,Healthcare,Local Clinic,-1073.46,debit,2024-10,Wednesday,Oct 2024
256,2024-10-03,Entertainment,PVR Cinemas,-339.95,debit,2024-10,Thursday,Oct 2024
257,2024-10-03,Groceries,BigBasket,-194.13,debit,2024-10,Thursday,Oct 2024
258,2024-10-03,Transport,Metro Card,-293.24,debit,2024-10,Thursday,Oct 2024
259,2024-10-03,Healthcare,Apollo Pharmacy,-182.88,debit,2024-10,Thursday,Oct 2024
260,2024-10-04,Groceries,DMart,-656.55,debit,2024-10,Friday,Oct 2024
261,2024-10-04,Entertainment,Spotify,-403.84,debit,2024-10,Friday,Oct 2024
262,2024-10-04,Dining,McDonalds,-171.58,debit,2024-10,Friday,Oct 2024
263,2024-10-05,Rent,Landlord Transfer,-8366.81,debit,2024-10,Saturday,Oct 2024
264,2024-10-05,Dining,Cafe Coffee Day,-221.36,debit,2024-10,Saturday,Oct 2024
265,2024-10-06,Utilities,Water Dept,-704.56,debit,2024-10,Sunday,Oct 2024
266,2024-10-06,Shopping,Myntra,-1046.27,debit,2024-10,Sunday,Oct 2024
267,2024-10-06,Groceries,Reliance Fresh,-300.37,debit,2024-10,Sunday,Oct 2024
268,2024-10-07,Education,Coursera,-573.37,debit,2024-10,Monday,Oct 2024
269,2024-10-07,Dining,Domino's,-184.75,debit,2024-10,Monday,Oct 2024
270,2024-10-07,Dining,McDonalds,-308.1,debit,2024-10,Monday,Oct 2024
271,2024-10-07,Groceries,Reliance Fresh,-423.49,debit,2024-10,Monday,Oct 2024
272,2024-10-07,Dining,Swiggy,-175.0,debit,2024-10,Monday,Oct 2024
273,2024-10-08,Entertainment,Netflix,-162.58,debit,2024-10,Tuesday,Oct 2024
274,2024-10-08,Groceries,BigBasket,-615.93,debit,2024-10,Tuesday,Oct 2024
275,2024-10-08,Shopping,Myntra,-1022.3,debit,2024-10,Tuesday,Oct 2024
276,2024-10-08,Shopping,Myntra,-763.96,debit,2024-10,Tuesday,Oct 2024
277,2024-10-09,Groceries,BigBasket,-414.49,debit,2024-10,Wednesday,Oct 2024
278,2024-10-09,Dining,Domino's,-364.72,debit,2024-10,Wednesday,Oct 2024
279,2024-10-10,Dining,Swiggy,-328.69,debit,2024-10,Thursday,Oct 2024
280,2024-10-10,Groceries,Local Kirana,-434.03,debit,2024-10,Thursday,Oct 2024
281,2024-10-11,Groceries,Reliance Fresh,-350.58,debit,2024-10,Friday,Oct 2024
282,2024-10-11,Groceries,BigBasket,-256.91,debit,2024-10,Friday,Oct 2024
283,2024-10-12,Entertainment,BookMyShow,-280.3,debit,2024-10,Saturday,Oct 2024
284,2024-10-12,Healthcare,Apollo Pharmacy,-683.81,debit,2024-10,Saturday,Oct 2024
285,2024-10-12,Dining,Domino's,-345.73,debit,2024-10,Saturday,Oct 2024
286,2024-10-13,Groceries,BigBasket,-246.37,debit,2024-10,Sunday,Oct 2024
287,2024-10-14,Groceries,BigBasket,-673.35,debit,2024-10,Monday,Oct 2024
288,2024-10-15,Groceries,Reliance Fresh,-626.6,debit,2024-10,Tuesday,Oct 2024
289,2024-10-15,Groceries,Reliance Fresh,-189.2,debit,2024-10,Tuesday,Oct 2024
290,2024-10-15,Healthcare,Local Clinic,-1007.22,debit,2024-10,Tuesday,Oct 2024
291,2024-10-15,Dining,Domino's,-123.28,debit,2024-10,Tuesday,Oct 2024
292,2024-10-15,Groceries,DMart,-459.1,debit,2024-10,Tuesday,Oct 2024
293,2024-10-16,Utilities,Water Dept,-415.8,debit,2024-10,Wednesday,Oct 2024
294,2024-10-16,Groceries,DMart,-636.75,debit,2024-10,Wednesday,Oct 2024
295,2024-10-16,Transport,Petrol Pump,-367.66,debit,2024-10,Wednesday,Oct 2024
296,2024-10-17,Shopping,Unknown,-343.56,debit,2024-10,Thursday,Oct 2024
297,2024-10-17,Entertainment,PVR Cinemas,-253.85,debit,2024-10,Thursday,Oct 2024
298,2024-10-18,Groceries,Reliance Fresh,-656.46,debit,2024-10,Friday,Oct 2024
299,2024-10-18,Entertainment,Spotify,-312.22,debit,2024-10,Friday,Oct 2024
300,2024-10-19,Entertainment,Netflix,-346.03,debit,2024-10,Saturday,Oct 2024
301,2024-10-19,Transport,Metro Card,-310.9,debit,2024-10,Saturday,Oct 2024
302,2024-10-19,Transport,Metro Card,-376.24,debit,2024-10,Saturday,Oct 2024
303,2024-10-20,Transport,Petrol Pump,-233.46,debit,2024-10,Sunday,Oct 2024
304,2024-10-21,Entertainment,BookMyShow,-418.31,debit,2024-10,Monday,Oct 2024
305,2024-10-21,Utilities,Electricity Board,-688.5,debit,2024-10,Monday,Oct 2024
306,2024-10-21,Education,Coursera,-356.19,debit,2024-10,Monday,Oct 2024
